Accession	Previous Gene Name?	Newer Gene Name?	Known Gene Name	SacCer Ortholog Gene Name	SacCer Ortholog Gene Description	Gene known not to be involved in virulence	Gene involved in melanin production	Gene involved in capsule production	Gene with increased virulence in KO	Other Virulence Phenotype	Annotated as Txn Factor?	Gene found in DMEM screen	Hiten's Annotation	CH Annotation	Blast Results	Counts MSTEST-1A	Counts MSTEST-1B	Counts MSTEST-4-6A	Counts MSTEST-4-6B	Coverage MSTEST-1A	Coverage MSTEST-1B	Coverage MSTEST-4-6A	Coverage MSTEST-4-6B	Ratio of average counts from MSTEST-4-6/MSTEST-1	
CNAG_03747T0			NO	YGL103W	Ribosomal Protein of the Large subunit, Ribosomal 60S subunit protein L28; homologous to mammalian ribosomal protein L27A and bacterial L15; may have peptidyl transferase activity; can mutate to cycloheximide resistance	NO					NO	YES	RPL28 Ribosomal 60S subunit protein L28; homologous to mammalian ribosomal protein L27A and bacterial L15; may have peptidyl transferase activity; can mutate to cycloheximide resistance		Schizosaccharomyces japonicus yFS275 60S ribosomal protein L28, partial mRNA; Zygosaccharomyces bailii CLIB 213 genomic, scaffold03; Vernicia fordii 60S ribosomal protein L27A (RPL27A) mRNA, complete cds	56	48	34	47	30.30%	59.20%	30.20%	42.60%	0.778846153846	
CNAG_06150T0			NO	YMR186W,YPL240C	, "Cytoplasmic chaperone of the Hsp90 family,Heat Shock Protein, "Hsp90 chaperone; redundant in function and nearly identical with Hsc82p	NO					NO	YES	HSP82 Hsp90 chaperone; required for pheromone signaling and negative regulation of Hsf1p; docks with Tom70p for mitochondrial preprotein delivery; promotes telomerase DNA binding and nucleotide addition; interacts with Cns1p, Cpr6p, Cpr7p, Sti1p; protein abundance increases in response to DNA replication stress		Neurospora crassa OR74A heat shock protein 90 partial mRNA; TPA_asm: Aspergillus nidulans FGSC A4 chromosome II; Aspergillus nidulans FGSC A4 heat shock protein 90 partial mRNA	12	26	28	52	19.70%	30.80%	22.90%	24.30%	2.10526315789	
CNAG_04021T0			NO	YGR034W,YLR344W	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L26B; binds to 5.8S rRNA; homologous to mammalian ribosomal protein L26 and bacterial L24; RPL26B has a paralog,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L26A; binds to 5.8S rRNA; homologous to mammalian ribosomal protein L26 and bacterial L24; RPL26A has a paralog	NO					NO	YES	RPL26A Ribosomal 60S subunit protein L26A; binds to 5.8S rRNA; homologous to mammalian ribosomal protein L26 and bacterial L24; RPL26A has a paralog, RPL26B, that arose from the whole genome duplication		Thielavia terrestris NRRL 8126 60S ribosomal protein L26, partial mRNA; Chaetomium globosum CBS 148.51 60S ribosomal protein L26, partial mRNA; AF093540 Zea mays ribosomal protein L26 mRNA, partial cds	17	18	31	49	39.10%	48.90%	28.90%	42.00%	2.28571428571	
CNAG_01170T0			NO	YDR447C,YML024W	Ribosomal Protein of the Small subunit, "Ribosomal protein 51 (rp51) of the small (40s) subunit; homologous to mammalian ribosomal protein S17,Ribosomal Protein of the Small subunit, "Ribosomal protein 51 (rp51) of the small (40s) subunit; homologous to mammalian ribosomal protein S17	NO					NO	YES	RPS17A Ribosomal protein 51 (rp51) of the small (40s) subunit; homologous to mammalian ribosomal protein S17, no bacterial homolog; RPS17A has a paralog, RPS17B, that arose from the whole genome duplication		PREDICTED: Takifugu rubripes 40S ribosomal protein S17-like (LOC101074802), mRNA; Dermacentor variabilis isolate DvM 138 ribosomal protein S17 mRNA, complete cds; Tetraodon nigroviridis full-length cDNA	30	33	21	59	49.00%	58.00%	25.80%	23.70%	1.26984126984	
CNAG_00640T0			NO	YHR203C,YJR145C	Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S4,Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; mutation affects 20S pre-rRNA processing; homologous to mammalian ribosomal protein S4	NO					NO	YES	RPS4A Protein component of the small (40S) ribosomal subunit; mutation affects 20S pre-rRNA processing; homologous to mammalian ribosomal protein S4, no bacterial homolog; RPS4A has a paralog, RPS4B, that arose from the whole genome duplication		Caenacis lauta voucher Clau32 putative RpS4 protein gene, partial cds; Carabus granulatus mRNA for ribosomal protein S4e (rpS4e gene); Arthroderma gypseum CBS 118893 40S ribosomal protein S4, partial mRNA	73	89	28	52	47.10%	64.30%	23.10%	25.00%	0.493827160494	
CNAG_01224T0			NO	YNL301C,YOL120C	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L18B; homologous to mammalian ribosomal protein L18,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L18A; intron of RPL18A pre-mRNA forms stem-loop structures that are a target for Rnt1p cleavage leading to degradation; homologous to mammalian ribosomal protein L18	NO					NO	YES	RPL18A Ribosomal 60S subunit protein L18A; intron of RPL18A pre-mRNA forms stem-loop structures that are a target for Rnt1p cleavage leading to degradation; homologous to mammalian ribosomal protein L18, no bacterial homolog; RPL18A has a paralog, RPL18B, that arose from the whole genome duplication		Homo sapiens ribosomal protein L18 pseudogene 12 (RPL18P12) on chromosome 16; Chlamydomonas reinhardtii ribosomal protein L18, component of cytosolic 80S ribosome and 60S large subunit (RPL18) mRNA, complete cds; Guillardia theta CCMP2712 large subunit ribosomal protein L18e, cytoplasmic (RPL18e) mRNA, complete cds	42	74	34	45	40.00%	59.50%	23.60%	34.30%	0.681034482759	
CNAG_00821T0			NO	YER056C-A,YIL052C	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L34A; homologous to mammalian ribosomal protein L34,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L34B; homologous to mammalian ribosomal protein L34	NO					NO	YES	RPL34B Ribosomal 60S subunit protein L34B; homologous to mammalian ribosomal protein L34, no bacterial homolog; RPL34B has a paralog, RPL34A, that arose from the whole genome duplication		Coprinopsis cinerea okayama7#130 60S ribosomal protein L34, partial mRNA; Caenorhabditis elegans Protein RPL-34 (rpl-34) mRNA, complete cds; Caenorhabditis briggsae C. briggsae CBR-RPL-34 protein (Cbr-rpl-34) mRNA, complete cds	26	26	31	48	53.10%	69.90%	36.90%	42.80%	1.51923076923	
CNAG_06919T0			NO	YDL014W	NucleOlar Protein, "Nucleolar protein	NO					NO	YES	NOP1 Nucleolar protein, component of the small subunit processome complex, which is required for processing of pre-18S rRNA; has similarity to mammalian fibrillarin		Candida glabrata CBS 138 rRNA methyltransferase NOP1, partial mRNA; PREDICTED: Oreochromis niloticus rRNA 2'-O-methyltransferase fibrillarin-like (LOC100707718), mRNA; Candida orthopsilosis Co 90-125 Nop1 nucleolar protein (CORT_0E04190), mRNA	64	163	29	47	44.60%	56.10%	23.70%	26.00%	0.334801762115	
CNAG_06400T0			NO			NO					NO	YES	plasma membrane H(+)-ATPase    PF00122.12 E1-E2_ATPase PF00690.18 Cation_ATPase_N PF00702.18 Hydrolase	Pma1(Plasma membrane proton transporter, needs to be functional for cells to grow in acidic pH)	A.thaliana aha9 gene; D.bioculata mRNA for plasma-membrane ATPase; Daucus carota DcPA 2 mRNA for plasma membrane H+-ATPase, complete cds	57	74	29	47	17.00%	20.80%	36.40%	32.70%	0.580152671756	
CNAG_00779T0			NO	YDR471W,YHR010W	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L27B; homologous to mammalian ribosomal protein L27,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L27A; homologous to mammalian ribosomal protein L27	NO					NO	YES	RPL27A Ribosomal 60S subunit protein L27A; homologous to mammalian ribosomal protein L27, no bacterial homolog; RPL27A has a paralog, RPL27B, that arose from the whole genome duplication		Aspergillus terreus NIH2624 60S ribosomal protein L27, partial mRNA; Aspergillus oryzae RIB40 60S ribosomal protein L27, partial mRNA; Aspergillus flavus NRRL3357 60S ribosomal protein L27, partial mRNA	35	73	30	45	44.90%	65.40%	17.80%	16.70%	0.694444444444	
CNAG_01727T0			NO			NO					NO	YES	Hsc70-4    PF00012.12 HSP70 PF09373.2 PMBR		PREDICTED: Macaca mulatta heat shock 70kDa protein 1B (HSPA1B), partial mRNA; Drosophila sechellia strain S9 heat-shock protein 70 (Hsc70-4) gene, partial sequence; Drosophila melanogaster strain ZH18 heat-shock protein 70 (Hsc70-4) gene, partial sequence	141	150	25	50	42.00%	57.20%	22.50%	31.80%	0.257731958763	
CNAG_00334T0			NO	YAL005C,YBL075C,YDL229W,YER103W,YJL034W,YLL024C,YNL209W	Stress-Seventy subfamily A, "ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; forms chaperone complex with Ydj1p; localized to nucleus,Stress-Seventy subfamily A, ATPase involved in protein folding and the response to stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the heat shock protein 70 (HSP70) family; localized to the cytoplasm,Stress-Seventy subfamily B, "Cytoplasmic ATPase that is a ribosome-associated molecular chaperone,Stress-Seventy subfamily A, Heat shock protein that is highly induced upon stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the HSP70 family; cytoplasmic protein that concentrates in nuclei upon starvation,KARyogamy, "ATPase involved in protein import into the ER,Stress-Seventy subfamily A, "ATP binding protein involved in protein folding and vacuolar import of proteins; member of heat shock protein 70 (HSP70) family; associated with the chaperonin-containing T-complex; present in the cytoplasm,Stress-Seventy subfamily B, "Cytoplasmic ATPase that is a ribosome-associated molecular chaperone	NO					NO	YES	SSB2 Cytoplasmic ATPase that is a ribosome-associated molecular chaperone, functions with J-protein partner Zuo1p; may be involved in the folding of newly-synthesized polypeptide chains; member of the HSP70 family; homolog of SSB1	?(Heat shock 70 kDa protein homolog)	Clavispora lusitaniae ATCC 42720 heat shock protein SSB1, mRNA; Clavispora lusitaniae ATCC 42720 heat shock protein SSB1, mRNA; Lodderomyces elongisporus NRRL YB-4239 heat shock protein SSB1 (LELG_03097) partial mRNA	25	41	35	39	23.80%	50.50%	38.30%	42.10%	1.12121212121	
CNAG_01884T0			NO	YOR063W	Ribosomal Protein of the Large subunit, Ribosomal 60S subunit protein L3; homologous to mammalian ribosomal protein L3 and bacterial L3; involved in the replication and maintenance of killer double stranded RNA virus	NO					NO	YES	RPL3 Ribosomal 60S subunit protein L3; homologous to mammalian ribosomal protein L3 and bacterial L3; involved in the replication and maintenance of killer double stranded RNA virus		Micromonas sp. RCC299 chromosome 1 ribosomal protein L3 (MICPUN_89851) mRNA, complete cds; Oryza sativa Japonica Group Os12g0167900 (Os12g0167900) mRNA, complete cds; RICRPL3A Oryza sativa Japonica Group mRNA for ribosomal protein L3, complete cds	86	105	28	46	37.70%	56.40%	21.60%	27.30%	0.387434554974	
CNAG_02330T0			NO	YBR191W,YPL079W	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L21A; homologous to mammalian ribosomal protein L21,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L21B; homologous to mammalian ribosomal protein L21	NO					NO	YES	RPL21B Ribosomal 60S subunit protein L21B; homologous to mammalian ribosomal protein L21, no bacterial homolog; RPL21B has a paralog, RPL21A, that arose from the whole genome duplication		Pichia pastoris CBS 7435 chromosome 1, complete replicon sequence; Komagataella pastoris GS115 60S ribosomal protein L21, partial mRNA; PREDICTED: Rattus norvegicus 60S ribosomal protein L21-like (RGD1561815), mRNA	12	50	22	51	21.20%	52.50%	33.70%	40.60%	1.17741935484	
CNAG_04114T0			NO	YGR214W,YLR048W	Ribosomal Protein of the Small subunit, "Ribosomal 40S subunit protein S0A; required for maturation of 18S rRNA along with Rps0Bp; deletion of either RPS0 gene reduces growth rate,Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; RPS0B has a paralog	NO					NO	YES	RPS0B Protein component of the small (40S) ribosomal subunit; RPS0B has a paralog, RPS0A, that arose from the whole genome duplication; required for maturation of 18S rRNA along with Rps0Ap; deletion of either RPS0 gene reduces growth rate, deletion of both genes is lethal; homologous to human ribosomal protein SA and bacterial S2		Barentsia elongata putative ribosomal protein SA mRNA, partial cds; Ajellomyces dermatitidis SLH14081 40S ribosomal protein S0, partial mRNA; Tuber melanosporum Mel28 40S ribosomal protein S0, partial mRNA	38	51	20	53	27.70%	54.50%	17.90%	24.70%	0.820224719101	
CNAG_04799T0			NO	YHL001W,YKL006W	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L14B; homologous to mammalian ribosomal protein L14,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L14A; N-terminally acetylated; homologous to mammalian ribosomal protein L14	NO					NO	YES	RPL14A Ribosomal 60S subunit protein L14A; N-terminally acetylated; homologous to mammalian ribosomal protein L14, no bacterial homolog; RPL14A has a paralog, RPL14B, that arose from the whole genome duplication		Candida glabrata CBS 138 60S ribosomal protein L14, partial mRNA; Aspergillus fumigatus Af293 ribosomal protein L14 (AFUA_6G03830), partial mRNA; Neosartorya fischeri NRRL 181 60S ribosomal protein L14, partial mRNA	41	43	30	42	33.80%	74.10%	12.20%	18.30%	0.857142857143	
CNAG_00656T0			NO	YGL076C,YPL198W	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L7A; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2); homologous to mammalian ribosomal protein L7 and bacterial L30; RPL7A has a paralog,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L7B; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2); homologous to mammalian ribosomal protein L7 and bacterial L30; RPL7B has a paralog	NO					NO	YES	RPL7B Ribosomal 60S subunit protein L7B; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2); homologous to mammalian ribosomal protein L7 and bacterial L30; RPL7B has a paralog, RPL7A, that arose from the whole genome duplication		Pyrenophora teres f. teres 0-1 60S ribosomal protein L7, partial mRNA; Pyrenophora tritici-repentis Pt-1C-BFP 60S ribosomal protein L7, mRNA; Drosophila ananassae GF15749 (Dana\GF15749), mRNA	65	56	28	44	24.00%	38.00%	30.80%	43.30%	0.595041322314	
CNAG_06125T0			NO	YBR118W,YPR080W	Translation Elongation Factor, Translational elongation factor EF-1 alpha; also encoded by TEF1; functions in the binding reaction of aminoacyl-tRNA (AA-tRNA) to ribosomes; may also have a role in tRNA re-export from the nucleus,Translation Elongation Factor, Translational elongation factor EF-1 alpha; also encoded by TEF2; functions in the binding reaction of aminoacyl-tRNA (AA-tRNA) to ribosomes; may also have a role in tRNA re-export from the nucleus	NO					NO	YES	TEF1 Translational elongation factor EF-1 alpha; also encoded by TEF2; functions in the binding reaction of aminoacyl-tRNA (AA-tRNA) to ribosomes; may also have a role in tRNA re-export from the nucleus		Beauveria bassiana isolate KVL 03_102 translation elongation factor 1 alpha gene, partial sequence; Beauveria bassiana isolate KVL 03_92 translation elongation factor 1 alpha gene, partial sequence; Polychytrium aggregatum isolate AFTOL-ID 24 elongation factor 1-alpha (EF1-alpha) gene, partial cds	160	74	23	49	51.70%	67.00%	18.30%	19.10%	0.307692307692	
CNAG_07807T0		CNAG_05052,CNAG_07140	NO			NO					NO	NO	histone H4    PF00125.16 Histone PF00808.15 CBFD_NFYB_HMF		Aspergillus niger CBS 513.88 histone H4, mRNA; PREDICTED: Macaca fascicularis histone H4-like (LOC102137230), mRNA; PREDICTED: Pseudopodoces humilis histone H4-like (LOC102108862), mRNA	8	20	28	43	33.00%	30.10%	16.50%	21.80%	2.53571428571	
CNAG_01976T0			NO	YBL087C,YER117W,YKL170W	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L23A; homologous to mammalian ribosomal protein L23 and bacterial L14; RPL23A has a paralog,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L23B; homologous to mammalian ribosomal protein L23 and bacterial L14; RPL23B has a paralog,"Mitochondrial Ribosomal Protein,  Large subunit"	NO					NO	YES	MRPL38 Mitochondrial ribosomal protein of the large subunit; appears as two protein spots (YmL34 and YmL38) on two-dimensional SDS gels; protein abundance increases in response to DNA replication stress		Pichia pastoris CBS 7435 chromosome 1, complete replicon sequence; Komagataella pastoris GS115 60S ribosomal protein L23, partial mRNA; Neodiplogaster sp. WEM-2009 large subunit ribosomal protein 23 (rpl-23) mRNA, partial cds	5	16	23	48	7.20%	58.00%	20.70%	36.10%	3.38095238095	
CNAG_06840T0			NO	YDR385W,YOR133W	Elongation Factor Two, "Elongation factor 2 (EF-2),Elongation Factor Two, "Elongation factor 2 (EF-2)	NO					NO	YES	EFT1 Elongation factor 2 (EF-2), also encoded by EFT2; catalyzes ribosomal translocation during protein synthesis; contains diphthamide, the unique posttranslationally modified histidine residue specifically ADP-ribosylated by diphtheria toxin		Xenopus laevis eukaryotic translation elongation factor 2, gene 1 (eef2.1), mRNA >gi; Tetraodon nigroviridis full-length cDNA; Tetraodon nigroviridis full-length cDNA	28	52	32	39	17.70%	40.90%	29.10%	29.70%	0.8875	
CNAG_01648T0			NO	YBR009C,YNL030W	Histone H Four, "Histone H4,Histone H Four, "Histone H4	NO					NO	NO	HHF2 Histone H4, core histone protein required for chromatin assembly and chromosome function; one of two identical histone proteins (see also HHF1); contributes to telomeric silencing; N-terminal domain involved in maintaining genomic integrity		Arabidopsis thaliana ecotype Landsberg erecta chromosome 3 genomic sequence; Arabidopsis thaliana ecotype Landsberg erecta chromosome 3 genomic sequence; Arabidopsis thaliana histone H4 mRNA, complete cds	8	20	28	43	33.00%	30.10%	36.90%	51.10%	2.53571428571	
CNAG_04762T0			NO	YBR031W,YDR012W	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L4A; N-terminally acetylated; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4A has a paralog,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L4B; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4B has a paralog	NO					NO	YES	RPL4B Ribosomal 60S subunit protein L4B; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4B has a paralog, RPL4A, that arose from the whole genome duplication		Kluyveromyces lactis NRRL Y-1140 60S ribosomal protein L4, partial mRNA; Acanthamoeba castellanii str. Neff ribosomal protein L4/L1 family (ACA1_288360) mRNA, complete cds; Aspergillus clavatus NRRL 1 60S ribosomal protein L4, partial mRNA	119	198	34	36	65.80%	76.00%	47.80%	31.20%	0.220820189274	
CNAG_04448T0			NO	YBL027W,YBR084C-A	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L19B; rpl19a and rpl19b single null mutations result in slow growth,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L19A; rpl19a and rpl19b single null mutations result in slow growth	NO					NO	YES	RPL19A Ribosomal 60S subunit protein L19A; rpl19a and rpl19b single null mutations result in slow growth, while the double null mutation is lethal; homologous to mammalian ribosomal protein L19, no bacterial homolog; RPL19A has a paralog, RPL19B, that arose from the whole genome duplication		Chrysomela tremulae ribosomal protein L19 (RpL19) mRNA, complete cds; Mus musculus targeted non-conditional, lacZ-tagged mutant allele Stac2:tm1e(EUCOMM)Hmgu; transgenic; Mus musculus targeted KO-first, conditional ready, lacZ-tagged mutant allele Stac2:tm2a(EUCOMM)Hmgu; transgenic	69	126	15	55	52.60%	62.90%	45.10%	53.10%	0.358974358974	
CNAG_05904T0			NO	YCR031C,YJL191W	Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; required for ribosome assembly and 20S pre-rRNA processing; mutations confer cryptopleurine resistance; homologous to mammalian ribosomal protein S14 and bacterial S11; RPS14A has a paralog,Ribosomal Protein of the Small subunit, "Protein component of the small (40S) ribosomal subunit; required for ribosome assembly and 20S pre-rRNA processing; mutations confer cryptopleurine resistance; homologous to mammalian ribosomal protein S14 and bacterial S11; RPS14B has a paralog	NO					NO	YES	RPS14B Protein component of the small (40S) ribosomal subunit; required for ribosome assembly and 20S pre-rRNA processing; mutations confer cryptopleurine resistance; homologous to mammalian ribosomal protein S14 and bacterial S11; RPS14B has a paralog, RPS14A, that arose from the whole genome duplication		Talaromyces stipitatus ATCC 10500 40S ribosomal protein S14, partial mRNA; Penicillium marneffei ATCC 18224 40S ribosomal protein S14, partial mRNA; Scheffersomyces stipitis CBS 6054 40S ribosomal protein S14, partial mRNA	22	21	26	44	34.70%	80.00%	19.30%	22.10%	1.62790697674	
CNAG_06447T0			NO	YJL177W,YKL180W	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L17B; homologous to mammalian ribosomal protein L17 and bacterial L22; RPL17B has a paralog,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L17A; copurifies with the Dam1 complex (aka DASH complex); homologous to mammalian ribosomal protein L17 and bacterial L22; RPL17A has a paralog	NO					NO	YES	RPL17A Ribosomal 60S subunit protein L17A; copurifies with the Dam1 complex (aka DASH complex); homologous to mammalian ribosomal protein L17 and bacterial L22; RPL17A has a paralog, RPL17B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress		Drosophila grimshawi GH12755 (Dgri\GH12755), mRNA; Babesia bovis DEAD/DEAH box helicase domain containing protein (BBOV_III008730) mRNA, complete cds; Neosartorya fischeri NRRL 181 60S ribosomal protein L17, partial mRNA	99	87	27	43	74.20%	79.10%	63.60%	57.50%	0.376344086022	
CNAG_07839T0		CNAG_04917,CNAG_07223	NO			NO					NO	NO	60s ribosomal protein l11    PF00281.11 Ribosomal_L5 PF00673.13 Ribosomal_L5_C		Cicer arietinum 60S ribosomal protein L11-like (LOC101515768), mRNA >gi; Eretmochelys imbricata voucher MVZ233242 ribosomal protein L11 (RPL11) mRNA, partial cds; Testudo hermanni voucher MVZ244866 ribosomal protein L11 (RPL11) mRNA, partial cds	14	39	23	47	34.90%	41.70%	31.40%	38.10%	1.32075471698	
CNAG_06745T0			NO			NO					NO	YES	HHT1 Histone H3		PREDICTED: Xenopus (Silurana) tropicalis histone H3.2-like (LOC100487139), mRNA; PREDICTED: Xenopus (Silurana) tropicalis histone H3.2-like (LOC100496027), mRNA; PREDICTED: Saccoglossus kowalevskii histone cluster 2, H3c2-like, transcript variant 2 (LOC100377039), mRNA	2	11	34	35	23.20%	31.90%	22.70%	24.30%	5.30769230769	
CNAG_04011T0			NO	YJR094W-A,YPR043W	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L43B; homologous to mammalian ribosomal protein L37A,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L43A; null mutation confers a dominant lethal phenotype; homologous to mammalian ribosomal protein L37A	NO					NO	YES	RPL43A Ribosomal 60S subunit protein L43A; null mutation confers a dominant lethal phenotype; homologous to mammalian ribosomal protein L37A, no bacterial homolog; RPL43A has a paralog, RPL43B, that arose from the whole genome duplication		Zygosaccharomyces bailii CLIB 213 genomic, scaffold06; Scheffersomyces stipitis CBS 6054 60S ribosomal protein L43, partial mRNA; Debaryomyces hansenii CBS767 60S ribosomal protein L43, partial mRNA	10	87	16	53	25.00%	77.20%	24.20%	23.80%	0.711340206186	
CNAG_05556T0			NO	YLR325C	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L38; homologous to mammalian ribosomal protein L38	NO					NO	YES	RPL38 Ribosomal 60S subunit protein L38; homologous to mammalian ribosomal protein L38, no bacterial homolog		PREDICTED: Fragaria vesca subsp. vesca 60S ribosomal protein L38-like (LOC101295591), mRNA; Coccomyxa subellipsoidea C-169 ribosomal protein L38 component of cytosolic 80S ribosome and 60S large subunit (COCSUDRAFT_18123) mRNA, partial cds; Ixodes scapularis ribosomal protein L38, putative, mRNA	90	167	18	49	71.90%	81.20%	24.90%	41.50%	0.260700389105	
CNAG_00703T0			NO	YDL075W,YLR406C	Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L31A; associates with karyopherin Sxm1p; loss of both Rpl31p and Rpl39p confers lethality; homologous to mammalian ribosomal protein L31,Ribosomal Protein of the Large subunit, "Ribosomal 60S subunit protein L31B; associates with karyopherin Sxm1p; loss of both Rpl31p and Rpl39p confers lethality; homologous to mammalian ribosomal protein L31	NO					NO	YES	RPL31B Ribosomal 60S subunit protein L31B; associates with karyopherin Sxm1p; loss of both Rpl31p and Rpl39p confers lethality; homologous to mammalian ribosomal protein L31, no bacterial homolog; RPL31B has a paralog, RPL31A, that arose from the whole genome duplication		Laccaria bicolor S238N-H82 60S ribosomal protein L31, partial mRNA; Salpingoeca sp. ATCC 50818 60S ribosomal protein L31 (PTSG_07203) mRNA, complete cds; Oncorhynchus masou formosanus ribosomal protein L31 (RPL31) mRNA, complete cds	5	92	32	35	24.60%	41.30%	26.50%	23.40%	0.690721649485	
CNAG_04068T0			NO			NO					NO	YES	60s ribosomal protein    PF01778.9 Ribosomal_L28e		Danio rerio tankyrase 1 binding protein 1 (tnks1bp1), mRNA >gi; Sphyrapicus varius voucher UF:43569 ultra conserved element locus chr6_3036 genomic sequence; Medicago truncatula Protein RUPTURED POLLEN GRAIN (MTR_7g005690) mRNA, complete cds	28	66	27	39	43.60%	71.80%	22.20%	25.50%	0.702127659574	
CNAG_02578T0			NO	YBR186W	Pachytene CHeckpoint, "Nucleolar component of the pachytene checkpoint	NO					NO	YES	PCH2 Nucleolar component of the pachytene checkpoint, which prevents chromosome segregation when recombination and chromosome synapsis are defective; also represses meiotic interhomolog recombination in the rDNA; required for meiotic double-stranded break formation		Bathycoccus prasinos genomic : chromosome_5; PREDICTED: Bombyx mori ATPase family AAA domain-containing protein 2B-like (LOC101744578), mRNA; Uncultured prokaryote 2E01B sequence	16	31	33	33	17.00%	32.10%	22.20%	25.20%	1.40425531915	
